area_id,alleg_year,officer_race,count
7,1985,White,3
7,1986,White,2
7,1987,Hispanic,1
7,1987,White,4
7,1988,Black,2
7,1988,Hispanic,1
7,1988,White,21
7,1989,White,4
7,1990,White,3
7,1991,Asian/Pacific,1
7,1991,Black,2
7,1991,Hispanic,4
7,1991,White,30
7,1992,Hispanic,1
7,1992,Native American/Alaskan Native,1
7,1992,White,26
7,1993,Black,1
7,1993,Hispanic,1
7,1993,White,32
7,1994,Hispanic,2
7,1994,White,31
7,1995,Black,6
7,1995,Hispanic,4
7,1995,White,29
7,1996,Hispanic,3
7,1996,White,15
7,1997,Black,1
7,1997,Hispanic,7
7,1997,White,17
7,1998,Hispanic,3
7,1998,White,15
7,1999,Asian/Pacific,1
7,1999,Hispanic,5
7,1999,White,20
7,2000,White,9
7,2001,Asian/Pacific,1
7,2001,Black,2
7,2001,Hispanic,7
7,2001,White,16
7,2002,Asian/Pacific,1
7,2002,Black,1
7,2002,Hispanic,2
7,2002,White,13
7,2003,Asian/Pacific,1
7,2003,Hispanic,1
7,2003,White,9
7,2004,Black,2
7,2004,White,2
7,2005,Asian/Pacific,1
7,2005,Hispanic,2
7,2005,White,6
7,2006,Asian/Pacific,1
7,2006,Hispanic,2
7,2006,White,1
7,2007,Hispanic,1
7,2007,White,3
7,2008,Asian/Pacific,1
7,2008,Black,1
7,2008,Hispanic,2
7,2008,White,15
7,2009,Black,2
7,2009,Hispanic,2
7,2010,Hispanic,1
7,2010,White,1
7,2011,Hispanic,1
7,2011,White,3
7,2012,Hispanic,2
7,2012,White,6
7,2013,Hispanic,1
7,2013,White,5
7,2014,Black,2
7,2014,Hispanic,4
7,2014,White,5
7,2015,Black,1
7,2015,Hispanic,1
7,2015,White,2
7,2016,White,3
7,2017,Hispanic,3
7,2017,White,3
7,2018,Hispanic,1
8,1983,White,1
8,1984,White,2
8,1986,White,3
8,1987,White,9
8,1989,Asian/Pacific,1
8,1989,Black,2
8,1989,Hispanic,3
8,1989,White,9
8,1990,White,4
8,1991,Black,2
8,1991,Hispanic,4
8,1991,White,24
8,1992,Black,2
8,1992,Hispanic,1
8,1992,White,19
8,1993,White,13
8,1994,Asian/Pacific,1
8,1994,Black,2
8,1994,Hispanic,2
8,1994,White,13
8,1995,Asian/Pacific,3
8,1995,Hispanic,3
8,1995,Native American/Alaskan Native,4
8,1995,White,15
8,1996,Black,1
8,1996,Hispanic,6
8,1996,Native American/Alaskan Native,1
8,1996,White,25
8,1997,Asian/Pacific,1
8,1997,Hispanic,6
8,1997,White,13
8,1998,Asian/Pacific,1
8,1998,Black,2
8,1998,Hispanic,2
8,1998,Native American/Alaskan Native,1
8,1998,White,23
8,1999,Asian/Pacific,1
8,1999,Black,4
8,1999,Hispanic,10
8,1999,White,35
8,2000,Black,1
8,2000,Hispanic,9
8,2000,White,41
8,2001,Asian/Pacific,1
8,2001,Black,4
8,2001,Hispanic,3
8,2001,White,31
8,2002,Hispanic,3
8,2002,White,35
8,2003,Black,2
8,2003,Hispanic,9
8,2003,White,20
8,2004,Asian/Pacific,1
8,2004,Hispanic,4
8,2004,White,22
8,2005,Black,1
8,2005,Hispanic,7
8,2005,White,11
8,2006,Hispanic,5
8,2006,White,7
8,2007,Black,1
8,2007,Hispanic,6
8,2007,White,11
8,2008,Asian/Pacific,2
8,2008,Hispanic,6
8,2008,White,8
