M,Black,NULL,NULL,NULL,NULL,NULL,1,0,2,0,0,0,0,0,68616
M,Black,62.7611,44.4919,0.0000,0.0000,52.7284,15,2,2,7,2,2,0,0,83604
M,White,0.0000,0.0000,0.0000,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
M,White,93.0725,86.2418,98.7144,0.0000,87.4438,3,0,8,1,0,0,0,0,76266
F,Black,45.7682,41.5139,79.9133,49.1036,55.9142,6,2,5,3,2,4,2,0,90024
M,Black,93.0269,NULL,NULL,NULL,0.0000,2,0,3,2,0,0,0,0,NULL
M,Black,71.4392,NULL,NULL,NULL,0.0000,8,4,0,3,4,0,0,0,NULL
F,Black,78.6431,63.2940,96.3030,NULL,0.0000,17,2,0,10,2,0,0,0,60600
M,White,54.9410,61.8766,0.0000,0.0000,0.0000,3,0,9,2,0,3,0,0,NULL
F,Black,49.8461,52.1792,0.0000,0.0000,0.0000,10,1,4,8,0,4,0,0,83604
F,Black,77.8503,56.2074,71.5151,46.3017,54.5871,22,3,5,12,3,2,1,0,89718
M,Black,87.8644,89.3861,0.0000,95.2797,85.2120,13,0,26,3,0,5,18,0,87006
M,Black,69.1452,73.7592,0.0000,90.7126,91.2702,4,1,25,0,1,3,7,1,84054
M,Black,72.4896,40.6747,98.8492,0.0000,0.0000,18,8,3,6,5,0,0,0,71682
M,White,73.0236,80.5838,74.7081,74.5223,79.3399,14,2,17,7,1,0,4,0,80724
M,White,75.3146,83.5412,0.0000,74.6715,77.9436,15,0,21,7,0,3,6,0,86520
M,Black,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL
F,White,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,48078
M,Black,58.5400,41.5894,0.0000,0.0000,0.0000,12,6,6,2,6,1,0,0,78006
M,Black,NULL,NULL,NULL,NULL,0.0000,1,1,0,0,1,0,0,0,NULL
M,Black,62.0152,61.9992,61.1521,38.9028,51.9035,17,3,6,2,3,4,1,0,96060
M,Black,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,48078
M,White,36.4852,NULL,NULL,NULL,0.0000,3,0,0,1,0,0,0,0,NULL
M,Black,93.2386,92.1618,96.3790,0.0000,52.1066,45,5,10,20,5,4,0,1,101958
M,White,91.5403,90.4873,61.1521,56.6663,79.5226,32,1,34,14,1,5,3,1,93354
M,White,59.2551,65.0477,0.0000,86.0619,96.2090,7,0,79,2,0,3,11,0,54114
M,White,71.4838,79.5262,0.0000,0.0000,53.7703,19,1,5,11,1,3,0,0,101958
M,White,0.0000,NULL,NULL,NULL,0.0000,0,0,1,0,0,1,0,0,NULL
M,White,60.5021,0.0000,98.7841,61.8348,84.0411,2,0,11,2,0,0,1,0,84054
F,White,41.8232,NULL,NULL,NULL,0.0000,4,0,0,4,0,0,0,0,NULL
F,Hispanic,65.4427,0.0000,0.0000,NULL,0.0000,12,4,12,5,4,0,0,1,64926
M,White,74.6437,74.8605,73.4652,94.2982,94.8443,11,1,76,1,1,2,20,1,91338
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
M,White,31.0297,0.0000,0.0000,0.0000,52.7668,6,0,2,5,0,6,0,0,78006
M,White,56.6811,55.0578,0.0000,38.9028,43.9736,12,0,3,7,0,5,1,1,98640
M,White,25.0371,NULL,NULL,NULL,0.0000,1,0,0,0,0,0,0,0,NULL
M,White,53.8726,35.6089,0.0000,0.0000,0.0000,13,1,0,4,0,3,0,1,111474
M,White,30.1190,NULL,NULL,NULL,0.0000,2,0,2,2,0,1,0,0,NULL
M,White,82.6411,85.1206,0.0000,80.7954,97.9299,7,0,53,1,0,1,4,0,84054
F,Black,74.6819,50.3239,94.1549,60.6604,62.2883,15,2,7,8,1,0,3,0,87384
F,Hispanic,32.1845,33.8300,73.6047,38.9028,64.4823,3,1,7,0,1,2,1,0,87006
M,White,45.2020,NULL,NULL,NULL,0.0000,2,1,0,1,1,0,0,1,NULL
M,Black,29.6429,NULL,NULL,NULL,0.0000,2,0,0,2,0,0,0,1,NULL
M,Black,44.3697,24.1180,0.0000,0.0000,29.2299,9,1,1,5,1,1,0,0,96060
M,White,27.2510,38.8506,0.0000,0.0000,0.0000,4,0,5,2,0,6,0,0,75816
F,Black,74.5252,68.0586,92.6101,80.6082,75.7447,7,1,11,2,2,2,6,1,88296
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,1,0,0,0,0,0,NULL
M,White,25.6467,0.0000,0.0000,0.0000,31.8498,3,0,1,2,0,1,0,0,92430
M,White,88.2389,77.6460,88.3297,92.1082,66.0155,31,3,14,11,3,2,17,0,93354
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
M,White,0.0000,NULL,NULL,NULL,0.0000,1,0,0,0,0,0,0,0,NULL
M,White,24.8464,NULL,NULL,NULL,0.0000,2,0,2,2,0,0,0,0,NULL
M,White,90.7378,86.3763,95.6348,49.1036,76.0391,32,3,27,18,3,7,2,0,89718
F,White,80.7229,61.9992,61.1521,49.1036,52.7606,24,1,6,7,1,10,2,0,111474
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
M,White,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,NULL
M,White,63.1615,53.0197,79.9133,0.0000,44.7521,12,4,3,6,3,2,0,0,93354
M,Black,35.9711,44.9821,0.0000,54.8848,84.7786,4,0,28,0,0,5,2,0,87006
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,1,0,0,1,0,0,NULL
M,White,0.0000,NULL,NULL,NULL,0.0000,0,0,2,0,0,0,0,0,NULL
F,White,48.1411,41.5139,0.0000,49.1036,78.7010,11,0,44,6,0,4,2,0,96060
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,4,0,0,NULL
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,6,0,0,1,0,0,NULL
M,White,54.0872,NULL,NULL,NULL,0.0000,2,1,2,0,1,0,0,0,NULL
M,White,45.1645,35.6089,0.0000,0.0000,47.0712,10,0,5,4,0,3,0,0,103932
M,Hispanic,46.4598,47.0849,73.6047,78.2707,84.1220,5,1,31,2,1,1,8,0,91338
M,Hispanic,65.8477,47.6380,0.0000,0.0000,59.0322,16,0,9,11,0,4,0,0,111474
M,Hispanic,26.2772,34.3731,0.0000,63.0035,77.0094,3,0,17,1,0,17,4,0,87006
M,Asian/Pacific,0.0000,0.0000,0.0000,0.0000,86.4411,1,0,12,0,0,2,0,0,80016
